date,ranking,score,completed
166,0.0799999999999983,10,3
167,0.14000000000000057,20,2
168,0.10999999999999943,15,3
169,0.14000000000000057,20,2
170,0.10999999999999943,15,1
172,0.14000000000000057,20,4
173,0.14999999999999858,20,4
175,0.39000000000000057,55,8
176,0.1700000000000017,25,5
177,0.21999999999999886,30,5
179,0.28999999999999915,40,2
180,0.07000000000000028,10,0
181,0,0,2
182,0.10999999999999943,15,0
183,0.03999999999999915,5,4
184,0.17999999999999972,25,2
185,0.10999999999999943,15,0
186,0,0,2
187,0.10999999999999943,15,4
188,0.17999999999999972,25,2
189,0.10000000000000142,15,2
190,0.10999999999999943,15,2
191,0.10999999999999943,15,1
192,0.05000000000000426,7,0
193,0.03999999999999915,5,1
194,0.07000000000000028,10,0
195,0,0,1
196,0.0799999999999983,10,4
197,0.17999999999999972,25,2
198,0.10000000000000142,15,4
199,0.18999999999999773,25,2
201,0.14000000000000057,20,4
202,0.17999999999999972,25,3
203,0.14000000000000057,20,2
204,0.10999999999999943,15,7
205,0.3300000000000054,45,4
206,0.17999999999999972,25,8
207,0.3299999999999983,45,3
208,0.14000000000000057,20,5
209,0.21999999999999886,30,3
210,0.14999999999999858,20,2
211,0.10999999999999943,15,5
212,0.21999999999999886,30,3
213,0.15000000000000568,20,6
215,0.3299999999999983,45,7
216,0.18999999999999773,35,3
217,0.07000000000000028,20,4
218,0.10999999999999943,25,3
219,0.0799999999999983,20,1
220,0.05000000000000426,10,3
221,0.10000000000000142,25,7
222,0.13999999999999346,40,2
223,0.060000000000002274,15,3
224,0.0799999999999983,20,1
225,0.04000000000000625,10,8
226,0.1599999999999966,45,0
227,0.00999999999999801,0,1
228,0.03999999999999915,10,5
229,0.10999999999999943,30,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0.010000000000005116,0,0
235,0.01999999999999602,5,1
236,0.030000000000001137,9,0
238,0.020000000000003126,5,0
239,0.00999999999999801,0,0
240,0,0,0
241,0.020000000000003126,5,0
242,0,1,1
243,0.02999999999999403,8,0
244,0.010000000000005116,0,0
245,0,1,0
246,0,0,0
247,0.00999999999999801,0,0
248,0,0,3
249,0.07000000000000028,20,1
250,0.03999999999999915,9,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0.00999999999999801,1,0
256,0,1,0
257,0.010000000000005116,2,3
258,0.07000000000000028,20,2
259,0.05999999999999517,15,1
260,0.030000000000001137,8,0
261,0,0,0
262,0.00999999999999801,1,0
263,0,1,0
264,0.010000000000005116,1,2
265,0.04999999999999716,15,0
266,0.020000000000003126,4,2
267,0.04999999999999716,15,5
268,0.10999999999999943,30,1
269,0.03999999999999915,10,1
270,0.020000000000003126,6,2
271,0.05999999999999517,15,0
273,0,0,2
274,0.05000000000000426,15,2
275,0.0799999999999983,20,2
276,0.04999999999999716,13,0
277,0.010000000000005116,5,3
278,0.0799999999999983,20,1
279,0.030000000000001137,8,4
280,0.0899999999999963,25,5
281,0.10999999999999943,30,5
282,0.11000000000000654,30,3
283,0.05999999999999517,17,2
284,0.05000000000000426,13,2
285,0.03999999999999915,12,0
286,0.00999999999999801,0,6
287,0.11999999999999744,35,2
288,0.060000000000002274,15,2
289,0.03999999999999915,12,0
290,0.00999999999999801,0,2
291,0.04000000000000625,12,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0.00999999999999801,0,1
297,0.01999999999999602,7,0
298,0,0,0
299,0.010000000000005116,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0.00999999999999801,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,0,0,0
311,0,0,0
312,0.00999999999999801,0,0
313,0,0,0
314,0,0,0
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,3
319,0.0799999999999983,20,2
320,0.04000000000000625,11,0
321,0,0,0
322,0,0,1
323,0.01999999999999602,7,2
324,0.05000000000000426,13,0
325,0,1,0
326,0,0,0
327,0.02999999999999403,6,0
328,0,0,0
329,0,0,0
330,0,0,0
331,0,0,0